date,avg_delay,median_delay,num_flights,num_delayed,num_cancelled,delay_weather,delay_carrier,delay_nas,delay_late_aircraft,delay_security,delay_rate,cancel_rate,date_parsed,year,month,day,day_of_week,day_name
2019-02-04,2.7238955823293174,-8.0,1992,331,18,2669.0,7103.0,5744.0,9411.0,0.0,16.62,0.9,2019-02-04,2019,2,4,0,Mon
2019-02-05,-1.259493670886076,-11.0,1896,293,47,3447.0,4654.0,3756.0,7390.0,77.0,15.45,2.48,2019-02-05,2019,2,5,1,Tue
2019-02-06,1.0489216201998948,-7.0,1901,373,35,1105.0,5639.0,4678.0,6615.0,5.0,19.62,1.84,2019-02-06,2019,2,6,2,Wed
2019-02-07,13.84194214876033,-3.0,1936,534,68,5125.0,8763.0,10004.0,15306.0,1.0,27.58,3.51,2019-02-07,2019,2,7,3,Thu
2019-02-08,9.205077152812345,-5.0,2009,467,28,1594.0,10608.0,8747.0,11534.0,25.0,23.25,1.39,2019-02-08,2019,2,8,4,Fri
2019-02-09,-1.1179094964945826,-9.0,1569,212,19,460.0,4681.0,3614.0,4626.0,21.0,13.51,1.21,2019-02-09,2019,2,9,5,Sat
2019-02-10,10.170398689240852,-4.0,1831,502,44,2971.0,10021.0,7786.0,10449.0,33.0,27.42,2.4,2019-02-10,2019,2,10,6,Sun
2019-02-11,11.330757341576508,-2.0,1941,553,80,3243.0,10287.0,8006.0,11255.0,22.0,28.49,4.12,2019-02-11,2019,2,11,0,Mon
2019-02-12,18.443877551020407,1.0,1764,804,220,4336.0,8592.0,12618.0,16175.0,28.0,45.58,12.47,2019-02-12,2019,2,12,1,Tue
2019-02-13,11.719252724442137,-3.0,1927,527,49,1867.0,8082.0,12924.0,11880.0,8.0,27.35,2.54,2019-02-13,2019,2,13,2,Wed
2019-02-14,8.523942352394235,-5.0,2151,514,28,938.0,11335.0,8892.0,13406.0,0.0,23.9,1.3,2019-02-14,2019,2,14,3,Thu
2019-02-15,6.580724070450098,-5.0,2044,450,21,885.0,12922.0,5688.0,8774.0,40.0,22.02,1.03,2019-02-15,2019,2,15,4,Fri
2019-02-16,-1.521468574984443,-8.0,1607,236,11,336.0,5332.0,2956.0,3845.0,13.0,14.69,0.68,2019-02-16,2019,2,16,5,Sat
2019-02-17,16.619710144927538,-3.0,1725,492,68,2303.0,10592.0,12400.0,14627.0,180.0,28.52,3.94,2019-02-17,2019,2,17,6,Sun
2019-02-18,14.482929242949035,0.0,2021,624,28,1338.0,12524.0,8272.0,18357.0,0.0,30.88,1.39,2019-02-18,2019,2,18,0,Mon
2019-02-19,10.267920691408236,-2.0,1967,523,31,2402.0,9813.0,6587.0,12845.0,24.0,26.59,1.58,2019-02-19,2019,2,19,1,Tue
2019-02-20,32.70392584514722,5.0,1834,929,189,6819.0,12998.0,21816.0,26265.0,18.0,50.65,10.31,2019-02-20,2019,2,20,2,Wed
2019-02-21,12.03672032193159,-1.0,1988,623,64,3381.0,10663.0,5998.0,15253.0,91.0,31.34,3.22,2019-02-21,2019,2,21,3,Thu
2019-02-22,13.584637268847795,-1.0,2109,621,38,3356.0,12922.0,7670.0,15748.0,9.0,29.45,1.8,2019-02-22,2019,2,22,4,Fri
